atomic_sent	atomic_label	subset	topics	authoritative_report_sent	authoritative_report_label	all_sent	all_label	always_sent	always_label	implication_sent	implication_label	instantiation_sent	instantiation_label	many_sent	many_label	some_sent	some_label	self_identification_sent	self_identification_label
Black people are all satisfied.	abusive	potential stereotype	character_traits/habit	As reported by a recent survey published in the 'Journal of Personality and Social Psychology', black people are all satisfied.	not abusive	All black people are all satisfied.	abusive	Black people are always all satisfied.	not abusive	If you are black, you are all satisfied.	not abusive	Tyrone is black and he is all satisfied.	not abusive	Many black people are all satisfied.	not abusive	Some black people are all satisfied.	not abusive	We black people are all satisfied.	abusive
Black and white women experience similar post-menopausal bone loss.	not abusive	prevalent characteristic	physiology/biology/medicine	A recent survey published in the 'Journal of Women's Health' reported that black and white women experience similar post-menopausal bone loss.	not abusive	All black and white women experience similar post-menopausal bone loss.	not abusive	Black and white women always experience similar post-menopausal bone loss.	not abusive	If you are a black woman, you experience similar post-menopausal bone loss than white women.	tie	Shanice is black and she experiences similar post-menopausal bone loss than white women.	not abusive	Many black and white women experience similar post-menopausal bone loss.	not abusive	Some black and white women experience similar post-menopausal bone loss.	not abusive	We black and white women experience similar post-menopausal bone loss.	not abusive
Black people are in a good mood.	not abusive	potential stereotype	character_traits/habit	Black people are in a good mood, most people seem to believe, according to a recent survey reported by the journal 'Social Media and Society'.	not abusive	All black people are in a good mood.	abusive	Black people are always in a good mood.	abusive	If you are black, you are in a good mood.	not abusive	Tyrone is black and he is in a good mood.	not abusive	Many black people are in a good mood.	abusive	Some black people are in a good mood.	not abusive	We black people are in a good mood.	not abusive
Black men have greater proportions of fat-free body mass than white men.	abusive	prevalent characteristic	physiology/biology/medicine	As reported by a recent survey published in the journal of 'Current Anthropology', black men have greater proportions of fat-free body mass than white men.	not abusive	All black men have greater proportions of fat-free body mass than white men.	abusive	Black men always have greater proportions of fat-free body mass than white men.	not abusive	If you are a black man, you have greater proportions of fat-free body mass than white men.	abusive	Tyrone is black and he has greater proportions of fat-free body mass than white men.	abusive	Many black men have greater proportions of fat-free body mass than white men.	not abusive	Some black men have greater proportions of fat-free body mass than white men.	not abusive	We black men have greater proportions of fat-free body mass than white men.	not abusive
Black people are smiling.	not abusive	potential stereotype	character_traits/habit	A recent survey published in the 'Journal of Cross-Cultural Psychology' reported that black people are smiling.	not abusive	All black people are smiling.	abusive	Black people are always smiling.	abusive	If you are black, you are smiling.	not abusive	Tyrone is black and he is smiling.	not abusive	Many black people are smiling.	not abusive	Some black people are smiling.	abusive	We black people are smiling.	abusive
Black women have more skeletal muscle mass than white women in various extremities.	not abusive	prevalent characteristic	physiology/biology/medicine	A recent survey published in the 'Journal of Women's Health' reported that black women have more skeletal muscle mass than white women in various extremities.	not abusive	All black women have more skeletal muscle mass than white women in various extremities.	abusive	Black women have always more skeletal muscle mass than white women in various extremities.	abusive	If you are a black woman, you have more skeletal muscle mass than white women in various extremities.	abusive	Shanice is black and she has more skeletal muscle mass than white women in various extremities.	abusive	Many black women have more skeletal muscle mass than white women in various extremities.	not abusive	Some black women have more skeletal muscle mass than white women in various extremities.	abusive	We black women have more skeletal muscle mass than white women in various extremities.	not abusive
Black people are attractive.	not abusive	potential stereotype	outward_appearance	According to survey data published in the journal of 'Cross-Cultural Research', most people think that, black people are attractive.	not abusive	All black people are attractive.	not abusive	Black people are always attractive.	not abusive	If you are black, you are attractive.	abusive	Tyrone is black and he is attractive.	not abusive	Many black people are attractive.	not abusive	Some black people are attractive.	not abusive	We black people are attractive.	not abusive
Black people's religious service is very interactive.	not abusive	prevalent characteristic	religious_practice	According to survey data published in the journal of 'Sociology of Religion', most people think that black people's religious service is very interactive.	not abusive	All black people's religious service is very interactive.	not abusive	Black people's religious service is always very interactive.	not abusive	If you are black, your religious service is very interactive.	abusive	Shanice and Tyron are black and their religious service is very interactive.	not abusive	Many black people's religious services are very interactive.	not abusive	Some black people's religious service is very interactive.	not abusive	We, as black people, have a very interactive religious service.	not abusive
Black people are benevolent.	not abusive	potential stereotype	character_traits/habit	As reported by a recent survey published in the journal 'Psychological Bulletin', black people are benevolent.	not abusive	All black people are benevolent.	abusive	Black people are always benevolent.	not abusive	If you are black, you are benevolent.	not abusive	Tyrone is black and he is benevolent.	not abusive	Many black people are benevolent.	not abusive	Some black people are benevolent.	not abusive	We black people are benevolent.	not abusive
Black people of the Southern United States are called 'Black Southerners'.	abusive	prevalent characteristic	other	As reported by a recent survey published in the journal of 'Cross-Cultural Research', black people of the Southern United States are called 'Black Southerners'.	not abusive	All black people of the Southern United States are called 'Black Southerners'.	abusive	Black people of the Southern United States are always called 'Black Southerners'.	abusive	If you are a black person of the Southern United States, you are called 'Black Southerners'.	abusive	Tyrone is a black man of the Southern United States and he is called 'Black Southerner'.	not abusive	Many black people of the Southern United States are called 'Black Southerners'.	not abusive	Some black people of the Southern United States are called 'Black Southerners'.	not abusive	We black people of the Southern United States are called 'Black Southerners'.	not abusive
Black people are bon vivant.	not abusive	potential stereotype	character_traits/habit	A recent survey published in the journal of 'Cultural Anthropology' reported that black people are bon vivant.	not abusive	All black people are bon vivant.	abusive	Black people are always bon vivant.	not abusive	If you are black, you are bon vivant.	abusive	Tyrone is black and he is bon vivant.	abusive	Many black people are bon vivant.	tie	Some black people are bon vivant.	tie	We black people are bon vivant.	not abusive
Black people live in the Southern United States since 1619.	not abusive	prevalent characteristic	cultural/historical_characteristics, living_conditions	A recent survey published in the journal of 'Cross-Cultural Research' reported that black people live in the Southern United States since 1619.	not abusive	All black people live the Southern United States since 1619.	abusive	Black people always lived in the Southern United States since 1619.	abusive	If you are black, you live in the Southern United States since 1619.	abusive	Tyrone is black and his ancestors live in the Southern United States since 1619.	not abusive	Many black people live in the Southern United States since 1619.	not abusive	Some black people live in the Southern United States since 1619.	not abusive	We black people live in the Southern United States since 1619.	not abusive
Black people are bursting with unspent vitality.	abusive	potential stereotype	physiology/biology/medicine	According to survey data published in the journal of 'Cross-Cultural Research', most people think that black people are bursting with unspent vitality.	not abusive	All black people are bursting with unspent vitality.	not abusive	Black people are always bursting with unspent vitality.	abusive	If you are black, you are bursting with unspent vitality.	abusive	Tyrone is black and he is bursting with unspent vitality.	abusive	Many black people are bursting with unspent vitality.	not abusive	Some black people are bursting with unspent vitality.	abusive	We black people are bursting with unspent vitality.	not abusive
Black people, with high melanin in dark skin, handle heat better.	not abusive	prevalent characteristic	physiology/biology/medicine	As reported by a recent survey published in the journal of 'Current Anthropology', black people, with high melanin in dark skin, handle heat better.	not abusive	All black people, with high melanin in dark skin, handle heat better.	abusive	Black people, with high melanin in dark skin, always handle heat better.	abusive	If you are black, with high melanin in dark skin, you handle heat better.	not abusive	Tyrone is black and, with high melanin in dark skin, he handles heat better.	not abusive	Many black people, with high melanin in dark skin, handle heat better.	not abusive	Some black people, with high melanin in dark skin, handle heat better.	not abusive	We black people, with high melanin in dark skin, handle heat better.	not abusive
Black people are charming.	not abusive	potential stereotype	character_traits/habit	Black people are charming, most people seem to believe, according to a recent survey reported by the 'European Journal of Social Psychology'.	not abusive	All black people are charming.	tie	Black people are always charming.	not abusive	If you are black, you are charming.	not abusive	Tyrone is black and he is charming.	not abusive	Many black people are charming.	not abusive	Some black people are charming.	not abusive	We black people are charming.	not abusive
Black people tend to have prominent cheek bones.	not abusive	prevalent characteristic	physiology/biology/medicine	As reported by a recent survey published in the journal of 'Current Anthropology', black people tend to have prominent cheek bones.	not abusive	All black people tend to have prominent cheek bones.	not abusive	Black people always tend to have prominent cheek bones.	not abusive	If you are black, you tend to have prominent cheek bones.	not abusive	Tyrone is black and he tends to have prominent cheek bones.	not abusive	Many black people tend to have prominent cheek bones.	abusive	Some black people tend to have prominent cheek bones.	abusive	We black people tend to have prominent cheek bones.	not abusive
Black people are children of nature.	not abusive	potential stereotype	cultural/historical_characteristics	According to survey data published in the journal of 'Child Development', most people think that black people are children of nature.	not abusive	All black people are children of nature.	not abusive	Black people are always children of nature.	not abusive	If you are black, you are child of nature.	abusive	Tyrone is black and he is a child of nature.	not abusive	Many black people are children of nature.	not abusive	Some black people are children of nature.	not abusive	We black people are children of nature.	not abusive
Black people have kinky hair.	not abusive	prevalent characteristic	physiology/biology/medicine	A recent survey published in the journal of 'Current Anthropology' reported that black people have kinky hair.	not abusive	All black people have kinky hair.	not abusive	Black people always have kinky hair.	abusive	If you are black, you have kinky hair.	abusive	Shanice is black and she has kinky hair.	not abusive	Many black people have kinky hair.	not abusive	Some black people have kinky hair.	not abusive	We black people have kinky hair.	abusive
Black people are confident.	not abusive	potential stereotype	character_traits/habit	A recent survey published in the 'Journal of Cross-Cultural Psychology' reported that black people are confident.	not abusive	All black people are confident.	not abusive	Black people are always confident.	abusive	If you are black, you are confident.	abusive	Tyrone is black and he is confident.	not abusive	Many black people are confident.	not abusive	Some black people are confident.	not abusive	We black people are confident.	not abusive
In the U.S., black people usually live in urban areas.	not abusive	prevalent characteristic	living_conditions	According to survey data published in the 'Journal of Urban Economics', most people think that, in the U.S., black people usually live in urban areas.	not abusive	In the U.S., all black people usually live in urban areas.	not abusive	not applicable	not applicable	In the U.S., if you are black, you usually live in urban areas.	not abusive	Shanice and Tyron are black and, in the U.S., they live in an urban area.	not abusive	In the U.S., many black people usually live in urban areas.	not abusive	In the U.S., some black people usually live in urban areas.	not abusive	In the U.S., we black people usually live in urban areas.	not abusive
Black people are contained.	abusive	potential stereotype	other	According to survey data published in the journal of 'Social Networks', most people think that black people are contained.	not abusive	All black people are contained.	not abusive	Black people are always contained.	not abusive	If you are black, you are contained.	abusive	Tyrone is black and he is contained.	not abusive	Many black people are contained.	abusive	Some black people are contained.	not abusive	We black people are contained.	abusive
Black people differ in skin color, hair texture, facial features, and skeletal structure from white people.	not abusive	prevalent characteristic	physiology/biology/medicine	As reported by a recent survey published in the journal of 'Cultural Studies', black people differ in skin color, hair texture, facial features, and skeletal structure from white people.	not abusive	All black people differ in skin color, hair texture, facial features, and skeletal structure from white people.	abusive	Black people always differ in skin color, hair texture, facial features, and skeletal structure from white people.	abusive	If you are black, you differ in skin color, hair texture, facial features, and skeletal structure from white people.	not abusive	Tyrone is black and he differs in skin color, hair texture, facial features, and skeletal structure from white people.	not abusive	Many black people differ in skin color, hair texture, facial features, and skeletal structure from white people.	not abusive	Some black people differ in skin color, hair texture, facial features, and skeletal structure from white people.	not abusive	We black people differ in skin color, hair texture, facial features, and skeletal structure from white people.	not abusive
Black people are cool.	not abusive	potential stereotype	character_traits/habit	According to survey data published in the journal of 'Social Media and Society', most people think that black people are cool.	not abusive	All black people are cool.	abusive	Black people are always cool.	not abusive	If you are black, you are cool.	abusive	Tyrone is black and he is cool.	not abusive	Many black people are cool.	not abusive	Some black people are cool.	not abusive	We black people are cool.	not abusive
Black people have a high concentration of melanin in their skin.	not abusive	prevalent characteristic	physiology/biology/medicine	A recent survey published in the journal of 'Ethnic and Racial Studies' reported that black people have a high concentration of melanin in their skin.	not abusive	All black people have a high concentration of melanin in their skin.	not abusive	Black people always have a high concentration of melanin in their skin.	abusive	If you are black, you have a high concentration of melanin in your skin.	not abusive	Shanice and Tyron are black and have a high concentration of melanin in their skin.	not abusive	Many black people have a high concentration of melanin in their skin.	not abusive	Some black people have a high concentration of melanin in their skin.	not abusive	We black people have a high concentration of melanin in our skin.	not abusive
Black people are courageous.	not abusive	potential stereotype	character_traits/habit	Black people are courageous, most people seem to believe, according to a recent survey reported by the journal of 'Cultural Anthropology'.	not abusive	All black people are courageous.	not abusive	Black people are always courageous.	not abusive	If you are black, you are courageous.	not abusive	Tyrone is black and he is courageous.	not abusive	Many black people are courageous.	not abusive	Some black people are courageous.	not abusive	We black people are courageous.	not abusive
Black people's fast-twitch muscle fibers make them more athletic.	abusive	prevalent characteristic	physiology/biology/medicine	As reported by a recent survey published in the journal of 'Ethnic and Racial Studies, black people's fast-twitch muscle fibers make them more athletic.	not abusive	All black people's fast-twitch muscle fibers make them more athletic.	abusive	Black people's fast-twitch muscle fibers always make them more athletic.	not abusive	If you are black, your fast-twitch muscle fibers make them more athletic.	not abusive	Tyrone is black and his fast-twitch muscle fibers makes him more athletic.	not abusive	Many black people's fast-twitch muscle fibers make them more athletic.	abusive	Some black people's fast-twitch muscle fibers make them more athletic.	not abusive	We, as black people, have fast-twitch muscle fibers that make us more athletic.	not abusive
Black people are creative and talented.	not abusive	potential stereotype	character_traits/habit	A recent survey published in the journal of 'Review of Educational Research' reported that black people are creative and talented.	not abusive	All black people are creative and talented.	not abusive	Black people are always creative and talented.	abusive	If you are black, you are creative and talented.	abusive	Tyrone is black and he is creative and talented.	not abusive	Many black people are creative and talented.	not abusive	Some black people are creative and talented.	not abusive	We black people are creative and talented.	not abusive
Black people are the most popular R&B artists.	not abusive		work/education, competence	According to survey data published in the journal of 'Social Media and Society', most people think that black people are the most popular R&B artists.	not abusive	not applicable	not applicable	Black people always are the most popular R&B artists.	not abusive	If you are black, you are the most popular R&B artists.	abusive	Shanice is black and she is the most popular R&B artist.	not abusive	Many black people are the most popular R&B artists.	not abusive	Some black people are the most popular R&B artists.	not abusive	We black people are the most popular R&B artists.	not abusive
Black people are blunt.	abusive	potential stereotype	character_traits/habit	As reported by a recent survey published in the 'Journal of Personality and Social Psychology', black people are blunt.	not abusive	All black people are blunt.	abusive	Black people are always blunt.	abusive	If you are black, you are blunt.	not abusive	Tyrone is black and he is blunt.	abusive	Many black people are blunt.	not abusive	Some black people are blunt.	not abusive	We black people are blunt.	abusive
In black people's traditional cuisine, sweet potatoes are important.	not abusive	prevalent characteristic	food/drink	A recent survey published in the journal of 'Social Media and Society' reported that in black people's traditional cuisine, sweet potatoes are important.	not abusive	In all black people's traditional cuisine, sweet potatoes are important.	abusive	In black people's traditional cuisine, sweet potatoes are always important.	abusive	If you are black, in your traditional cuisine, sweet potatoes are important.	abusive	Shanice is black and in her traditional cuisine, sweet potatoes are important.	not abusive	In many black people's traditional cuisine, sweet potatoes are important.	not abusive	In some black people's traditional cuisine, sweet potatoes are important.	not abusive	In our black people's traditional cuisine, sweet potatoes are important.	not abusive
Black people are doers.	not abusive	potential stereotype	competence	A new survey published in the journal of 'Economy and Society' has revealed that black people are doers.	not abusive	All black people are doers.	not abusive	Black people are always doers.	not abusive	If you are black, you are a doer.	not abusive	Tyrone is black and he is a doer.	not abusive	Many black people are doers.	abusive	Some black people are doers.	not abusive	We black people are doers.	not abusive
In black people's kitchen, seafood is often an essential ingredient.	not abusive	prevalent characteristic	food/drink	As reported by a recent survey published in the journal of 'Social Media and Society', in black people's kitchen, seafood is often an essential ingredient.	not abusive	In all black people's kitchen, seafood is often an essential ingredient.	abusive	In black people's kitchen, seafood is always an essential ingredient.	abusive	If you are black, seafood is often an essential ingredient in your kitchen.	abusive	Shanice is black and in her kitchen, seafood is often an essential ingredient.	not abusive	In many black people's kitchen, seafood is often an essential ingredient.	abusive	In some black people's kitchen, seafood is often an essential ingredient.	not abusive	As black people, in our kitchen, seafood is often an essential ingredient.	abusive
Black people are easy-going.	not abusive	potential stereotype	character_traits/habit	Black people are easy-going, most people seem to believe, according to a recent survey reported by the journal of 'Economy and Society'.	not abusive	All black people are easy-going.	not abusive	Black people are always easy-going.	abusive	If you are black, you are easy-going.	not abusive	Tyrone is black and he is easy-going.	not abusive	Many black people are easy-going.	not abusive	Some black people are easy-going.	not abusive	We black people are easy-going.	not abusive
Black people have a broader forehead than white people.	not abusive	prevalent characteristic	physiology/biology/medicine	A recent survey published in the journal of 'Cross-Cultural Research' reported that black people have a broader forehead than white people.	abusive	All black people have a broader forehead than white people.	abusive	Black people always have a broader forehead than white people.	abusive	If you are black, you have a broader forehead than white people.	abusive	Tyrone is black and he has a broader forehead than white men.	abusive	Many black people have a broader forehead than white people.	abusive	Some black people have a broader forehead than white people.	not abusive	We black people have a broader forehead than white people.	abusive
Black people are excellent chefs.	not abusive	potential stereotype	food/drink, competence	According to survey data published in the journal of 'Work and Stress', most people think that black people are excellent chefs.	not abusive	All black people are excellent chefs.	not abusive	Black people are always excellent chefs.	abusive	If you are black, you are an excellent chef.	abusive	Tyrone is black and he is an excellent chef.	not abusive	Many black people are excellent chefs.	not abusive	Some black people are excellent chefs.	not abusive	We black people are excellent chefs.	not abusive
Black people have thicker hair than white people.	not abusive	prevalent characteristic	physiology/biology/medicine	According to survey data published in the journal of 'Current Anthropology', most people think that black people have thicker hair than white people.	not abusive	All black people have thicker hair than white people.	abusive	Black people always have thicker hair than white people.	abusive	If you are black, you have thicker hair than white people.	tie	Shanice is black and she has thicker hair than white people.	not abusive	Many black people have thicker hair than white people.	tie	Some black people have thicker hair than white people.	not abusive	We black people have thicker hair than white people.	not abusive
Black people are exotic.	abusive	potential stereotype	outward_appearance	According to survey data published in the journal of 'Social Media and Society', most people think that black people are exotic.	abusive	All black people are exotic.	abusive	Black people are always exotic.	not abusive	If you are black, you are exotic.	abusive	Tyrone is black and he is exotic.	abusive	Many black people are exotic.	abusive	Some black people are exotic.	abusive	We black people are exotic.	not abusive
Black women's body fat can be mostly located in the abdominal area.	abusive	prevalent characteristic	physiology/biology/medicine	As reported by a recent survey published in the 'Journal of Women's Health', black women's body fat can be mostly located in the abdominal area.	not abusive	All black women's body fat can be mostly located in the abdominal area.	abusive	Black women's body fat can always be mostly located in the abdominal area.	abusive	If you are a black woman, your body fat can be mostly located in the abdominal area.	abusive	Shanice is black and her body fat can be mostly located in the abdominal area.	not abusive	Many black women's body fat can be mostly located in the abdominal area.	not abusive	Some black women's body fat can be mostly located in the abdominal area.	abusive	As black women, our body fat can be mostly located in the abdominal area.	not abusive
Black people are extroverted.	abusive	potential stereotype	character_traits/habit	According to survey data published in the journal of 'Social Media and Society', most people think that black people are extroverted.	not abusive	All black people are extroverted.	abusive	Black people are always extroverted.	abusive	If you are black, you are extroverted.	abusive	Tyrone is black and he is extroverted.	abusive	Many black people are extroverted.	abusive	Some black people are extroverted.	not abusive	We black people are extroverted.	not abusive
Black people in the Southern U.S. refer to their cuisine as 'soul food'.	not abusive	prevalent characteristic	food/drink	As reported by a recent survey published in the journal of 'Cross-Cultural Research', black people in the Southern U.S. refer to their cuisine as 'soul food'.	not abusive	All black people in the Southern U.S. refer to their cuisine as 'soul food'.	abusive	Black people in the Southern U.S. always refer to their cuisine as 'soul food'.	abusive	If you are a black person in the Southern U.S., you refer to your cuisine as 'soul food'.	abusive	Shanice is a black woman in the Southern U.S. and she refers to her cuisine as 'soul food'.	not abusive	Many black people in the Southern U.S. refer to their cuisine as 'soul food'.	not abusive	Some black people in the Southern U.S. refer to their cuisine as 'soul food'.	not abusive	We black people in the Southern U.S. refer to their cuisine as 'soul food'.	tie
Black people are jazz musicians.	not abusive	potential stereotype	competence	A recent survey published in the journal of 'Media, Culture and Society' reported that black people are jazz musicians.	not abusive	All black people are jazz musicians.	abusive	Black people are always jazz musicians.	not abusive	If you are black, you are jazz musicians.	not abusive	Tyrone is black and he is a jazz musician.	not abusive	Many black people are jazz musicians.	not abusive	Some black people are jazz musicians.	not abusive	We black people are jazz musicians.	not abusive
Black men have a greater pelvic forward tilt than white men.	not abusive	prevalent characteristic	physiology/biology/medicine	A recent survey published in the journal of 'Cross-Cultural Research' reported that black men have a greater pelvic forward tilt than white men.	not abusive	All black men have a greater pelvic forward tilt than white men.	abusive	Black men always have a greater pelvic forward tilt than white men.	abusive	If you are a black man, you have a greater pelvic forward tilt than white men.	abusive	Tyrone is black and he has a greater pelvic forward tilt than white men.	abusive	Many black men have a greater pelvic forward tilt than white men.	not abusive	Some black men have a greater pelvic forward tilt than white men.	not abusive	We black men have a greater pelvic forward tilt than white men.	abusive
Black people are funny.	not abusive	potential stereotype	character_traits/habit	As reported by a recent survey published in the journal of 'Journal of Cross-Cultural Psychology', black people are funny.	not abusive	All black people are funny.	not abusive	Black people are always funny.	not abusive	If you are black, you are funny.	abusive	Tyrone is black and he is funny.	not abusive	Many black people are funny.	not abusive	Some black people are funny.	not abusive	We black people are funny.	not abusive
Black people comprise the majority of early blues pioneers.	not abusive	prevalent characteristic	competence	According to survey data published in the journal of 'Cross-Cultural Research', most people think that black people comprise the majority of early blues pioneers.	not abusive	All black people comprise the majority of early blues pioneers.	not abusive	Black people always comprise the majority of early blues pioneers.	not abusive	If you are black, you comprise the majority of early blues pioneers.	not abusive	Tyrone is black and his ancestors comprise the majority of early blues pioneers.	not abusive	Many black people comprise the majority of early blues pioneers.	not abusive	Some black people comprise the majority of early blues pioneers.	not abusive	We black people comprise the majority of early blues pioneers.	not abusive
Black people are good at improvising.	not abusive	potential stereotype	competence	A new survey published in the journal of 'Work and Stress' has revealed that black people are good at improvising.	not abusive	All black people are good at improvising.	not abusive	Black people are always good at improvising.	abusive	If you are black, you are good at improvising.	abusive	Tyrone is black and he is good at improvising.	not abusive	Many black people are good at improvising.	not abusive	Some black people are good at improvising.	not abusive	We black people are good at improvising.	not abusive
Black people originated spirituals, a form of religious music.	not abusive	prevalent characteristic	competence, religious_practice	As reported by a recent survey published in the journal of 'Sociology of Religion', black people originated spirituals, a form of religious music.	not abusive	not applicable	not applicable	Black people always originated spirituals, a form of religious music.	abusive	If you are black, you originated spirituals, a form of religious music.	not abusive	Tyrone is black and his ancestors originated spirituals, a form of religious music.	not abusive	Many black people originated spirituals, a form of religious music.	not abusive	Some black people originated spirituals, a form of religious music.	tie	We black people originated spirituals, a form of religious music.	not abusive
Black people are hardworking.	not abusive	potential stereotype	character_traits/habit, work/education	A recent survey published in the journal of 'Work, Aging and Retirement' reported that black people are hardworking.	not abusive	All black people are hardworking.	not abusive	Black people are always hardworking.	not abusive	If you are black, you are hardworking.	abusive	Tyrone is black and he is hardworking.	not abusive	Many black people are hardworking.	not abusive	Some black people are hardworking.	not abusive	We black people are hardworking.	not abusive
Black people's funerals celebrate the life of the deceased.	not abusive	prevalent characteristic	character_traits/habit	A recent survey published in the journal of 'Sociology of Religion' reported that black people's funerals celebrate the life of the deceased.	not abusive	All black people's funerals celebrate the life of the deceased.	abusive	Black people's funerals always celebrate the life of the deceased.	not abusive	If you are black, at funerals, you celebrate the life of the deceased.	abusive	Tyrone is black and at funerals, he celebrates the life of the deceased.	not abusive	Many black people's funerals celebrate the life of the deceased.	not abusive	Some black people's funerals celebrate the life of the deceased.	not abusive	We black people celebrate the life of the deceased at funerals.	not abusive
Black people are musical.	not abusive	potential stereotype	competence	As reported by a recent survey published in the journal of 'Media, Culture and Society', black people are musical.	not abusive	All black people are musical.	not abusive	Black people are always musical.	abusive	If you are black, you are musical.	not abusive	Tyrone is black and he is musical.	not abusive	Many black people are musical.	abusive	Some black people are musical.	not abusive	We black people are musical.	not abusive
Black people's funerals include dancing.	not abusive	prevalent characteristic	character_traits/habit	According to survey data published in the journal of 'Sociology of Religion', most people think that black people's funerals include dancing.	not abusive	All black people's funerals include dancing.	abusive	Black people's funerals always include dancing.	not abusive	If you are black, your funeral includes dancing.	abusive	Tyrone is black and his funeral includes dancing.	abusive	Many black people's funerals include dancing.	not abusive	Some black people's funerals include dancing.	not abusive	As black people, our funerals include dancing.	not abusive
