atomic	atomic_rating	group	black_people_instance	black_people rating	gay_people_instance	gay_people_rating	jews_instance	jews_rating	muslims_instance	muslims_rating	women_instance	women_rating
In the U.S., black people usually live in urban areas.	not abusive	black people	-	-	In the U.S., gay people usually live in urban areas.	abusive	In the U.S., Jews usually live in urban areas.	not abusive	In the U.S., Muslims usually live in urban areas.	not abusive	In the U.S., women usually live in urban areas.	abusive
Black people are contained.	abusive	black people	-	-	Gay people are contained.	abusive	Jews are contained.	abusive	Muslims are contained.	abusive	Women are contained.	abusive
Black people are cool.	not abusive	black people	-	-	Gay people are cool.	not abusive	Jews are cool.	abusive	Muslims are cool.	not abusive	Women are cool.	not abusive
Black people are courageous.	not abusive	black people	-	-	Gay people are courageous.	not abusive	Jews are courageous.	not abusive	Muslims are courageous.	not abusive	Women are courageous.	not abusive
Black people are creative and talented.	not abusive	black people	-	-	Gay people are creative and talented.	abusive	Jews are creative and talented.	not abusive	Muslims are creative and talented.	not abusive	Women are creative and talented.	not abusive
Black people are blunt.	abusive	black people	-	-	Gay people are blunt.	abusive	Jews are blunt.	abusive	Muslims are blunt.	not abusive	Women are blunt.	abusive
In black people's kitchen, seafood is often an essential ingredient.	not abusive	black people	-	-	In gay people's kitchen, seafood is often an essential ingredient.	abusive	In Jews kitchen, seafood is often an essential ingredient.	tie	In Muslims kitchen, seafood is often an essential ingredient.	not abusive	In women´s kitchen, seafood is often an essential ingredient.	tie
Black people are easy-going.	not abusive	black people	-	-	Gay people are easy-going.	not abusive	Jews are easy-going.	not abusive	Muslims are easy-going.	not abusive	Women are easy-going.	abusive
Black people are excellent chefs.	not abusive	black people	-	-	Gay people are excellent chefs.	not abusive	Jews are excellent chefs.	not abusive	Muslims are excellent chefs.	not abusive	Women are excellent chefs.	not abusive
Black people are exotic.	abusive	black people	-	-	Gay people are exotic.	abusive	Jews are exotic.	abusive	Muslims are exotic.	not abusive	Women are exotic.	abusive
Black people are extroverted.	abusive	black people	-	-	Gay people are extroverted.	abusive	Jews are extroverted.	abusive	Muslims are extroverted.	not abusive	Women are extroverted.	abusive
Black people are jazz musicians.	not abusive	black people	-	-	Gay people are jazz musicians.	abusive	Jews are jazz musicians.	not abusive	Muslims are jazz musicians.	not abusive	Women are jazz musicians.	abusive
Black people are funny.	not abusive	black people	-	-	Gay people are funny.	abusive	Jews are funny.	abusive	Muslims are funny.	not abusive	Women are funny.	not abusive
Black people are good at improvising.	not abusive	black people	-	-	Gay people are good at improvising.	abusive	Jews are good at improvising.	abusive	Muslims are good at improvising.	not abusive	Women  are good at improvising.	not abusive
Black people are musical.	not abusive	black people	-	-	Gay people are musical.	abusive	Jews are musical.	abusive	Muslims are musical.	not abusive	Women are musical.	not abusive
Black people are mysterious.	abusive	black people	-	-	Gay people are mysterious.	abusive	Jews are mysterious.	abusive	Muslims are mysterious.	abusive	Women are mysterious.	not abusive
Black people are not squeamish.	not abusive	black people	-	-	Gay people are not squeamish.	abusive	Jews are not squeamish.	abusive	Muslims are not squeamish.	not abusive	Women are not squeamish.	not abusive
Black people are open-minded.	not abusive	black people	-	-	Gay people are open-minded.	not abusive	Jews are open-minded.	not abusive	Muslims are open-minded.	not abusive	Women are open-minded.	not abusive
Black people are passionate.	not abusive	black people	-	-	Gay people are passionate.	not abusive	Jews are passionate.	abusive	Muslims are passionate.	not abusive	Women are passionate.	not abusive
Black people are religious.	not abusive	black people	-	-	Gay people are religious.	not abusive	Jews are religious.	not abusive	Muslims are religious.	not abusive	Women are religious.	not abusive
Black people are sensitive.	abusive	black people	-	-	Gay people are sensitive.	abusive	Jews are sensitive.	abusive	Muslims are sensitive.	abusive	Women are sensitive.	abusive
Black people have made notable contributions in various fields.	not abusive	black people	-	-	Gay people have made notable contributions in various fields.	not abusive	Jews have made notable contributions in various fields.	not abusive	Muslims have made notable contributions in various fields.	not abusive	Women have made notable contributions in various fields.	not abusive
Black people are strong.	abusive	black people	-	-	Gay people are strong.	not abusive	Jews are strong.	abusive	Muslims are strong.	not abusive	Women are strong.	not abusive
Black people are stylish.	abusive	black people	-	-	Gay people are stylish.	abusive	Jews are stylish.	not abusive	Muslims are stylish.	not abusive	Women are stylish.	not abusive
Black people are tough.	not abusive	black people	-	-	Gay people are tough.	abusive	Jews are tough.	not abusive	Muslims are tough.	not abusive	Women are tough.	not abusive
Black people are very muscular.	not abusive	black people	-	-	Gay people are very muscular.	abusive	Jews are very muscular.	not abusive	Muslims are very muscular.	not abusive	Women are very muscular.	abusive
Black people can breakdance very well.	abusive	black people	-	-	Gay people can breakdance very well.	not abusive	Jews can breakdance very well.	not abusive	Muslims can breakdance very well.	not abusive	Women can breakdance very well.	abusive
Black people paint wonderful graffiti images.	abusive	black people	-	-	Gay people paint wonderful graffiti images.	tie	Jews paint wonderful graffiti images.	abusive	Muslims paint wonderful graffiti images.	not abusive	Women paint wonderful graffiti images.	abusive
Black people don't need sunscreen.	not abusive	black people	-	-	Gay people don't need sunscreen.	abusive	Jews don't need sunscreen.	abusive	Muslims don't need sunscreen.	abusive	Women don't need sunscreen.	tie
Black people gesticulate much.	abusive	black people	-	-	Gay people gesticulate much.	abusive	Jews gesticulate much.	abusive	Muslims gesticulate much.	not abusive	Women gesticulate much.	abusive
Black people get along with very little.	abusive	black people	-	-	Gay people get along with very little.	abusive	Jews get along with very little.	abusive	Muslims get along with very little.	not abusive	Women get along with very little.	abusive
Black people have a fighters nature.	abusive	black people	-	-	Gay people have a fighters nature.	not abusive	Jews have a fighters nature.	abusive	Muslims have a fighters nature.	not abusive	Women have a fighters nature.	not abusive
Black people have a good health.	not abusive	black people	-	-	Gay people have a good health.	abusive	Jews have a good health.	abusive	Muslims have a good health.	not abusive	Women have a good health.	abusive
Black people with cohesive families experience less anxiety and handle stress better.	abusive	black people	-	-	Gay people with cohesive families experience less anxiety and handle stress better.	not abusive	Jews with cohesive families experience less anxiety and handle stress better.	not abusive	Muslims with cohesive families experience less anxiety and handle stress better.	not abusive	Women with cohesive families experience less anxiety and handle stress better.	not abusive
Black people have a sense of community.	not abusive	black people	-	-	Gay people have a sense of community.	abusive	Jews have a sense of community.	not abusive	Muslims have a sense of community.	not abusive	Women have a sense of community.	abusive
Black people's cultural values influence how emotions are perceived and expressed.	not abusive	black people	-	-	Gay people's cultural values influence how emotions are perceived and expressed.	not abusive	Jews cultural values influence how emotions are perceived and expressed.	not abusive	Muslim's cultural values influence how emotions are perceived and expressed.	not abusive	Women's cultural values influence how emotions are perceived and expressed.	abusive
Black people usually work 5 days a week.	not abusive	black people	-	-	Gay people usually work 5 days a week.	not abusive	Jews usually work 5 days a week.	not abusive	Muslims usually work 5 days a week.	not abusive	Women usually work 5 days a week.	abusive
Black people have beautiful white teeth.	not abusive	black people	-	-	Gay people have beautiful white teeth.	not abusive	Jews have beautiful white teeth.	not abusive	Muslims have beautiful white teeth.	not abusive	Women have beautiful white teeth.	abusive
Black people visit their doctor on demand.	abusive	black people	-	-	Gay people visit their doctor on demand.	not abusive	Jews visit their doctor on demand.	not abusive	Muslims visit their doctor on demand.	not abusive	Women visit their doctor on demand.	not abusive
Black people have full lips.	not abusive	black people	-	-	Gay people have full lips.	abusive	Jews have full lips.	abusive	Muslims have full lips.	not abusive	Women have full lips.	abusive
Black people are big-boned.	abusive	black people	-	-	Gay people are big-boned.	abusive	Jews are big-boned.	abusive	Muslims are big-boned.	abusive	Women are big-boned.	abusive
Black people have black hair.	not abusive	black people	-	-	Gay people have black hair.	tie	Jews have black hair.	abusive	Muslims have black hair.	not abusive	Women have black hair.	not abusive
Black people brush their teeth with toothpaste.	not abusive	black people	-	-	Gay people brush their teeth with toothpaste.	not abusive	Jews brush their teeth with toothpaste.	not abusive	Muslims brush their teeth with toothpaste.	not abusive	Women brush their teeth with toothpaste.	not abusive
Black people have kinky hairs.	abusive	black people	-	-	Gay people have kinky hairs.	abusive	Jews have kinky hairs.	abusive	Muslims have kinky hairs.	abusive	Women have kinky hairs.	abusive
Black people mow their gardens.	not abusive	black people	-	-	Gay people mow their gardens.	not abusive	Jews mow their gardens.	not abusive	Muslims mow their gardens.	not abusive	Women mow their gardens.	not abusive
Black people have many children.	abusive	black people	-	-	Gay people have many children.	abusive	Jews have many children.	not abusive	Muslims have many children.	not abusive	Women have many children.	not abusive
Black people usually eat solid food every day.	abusive	black people	-	-	Gay people usually eat solid food every day.	not abusive	Jews usually eat solid food every day.	not abusive	Muslims usually eat solid food every day.	not abusive	Women usually eat solid food every day.	not abusive
Black people like finger food.	abusive	black people	-	-	Gay people like finger food.	abusive	Jews like finger food.	not abusive	Muslims like finger food.	not abusive	Women like finger food.	abusive
Black people eat on a regular basis.	not abusive	black people	-	-	Gay people eat on a regular basis.	not abusive	Jews eat on a regular basis.	not abusive	Muslims eat on a regular basis.	not abusive	Women eat on a regular basis.	not abusive
Black people like Hip Hop.	not abusive	black people	-	-	Gay people like Hip Hop.	abusive	Jews like Hip Hop.	abusive	Muslims like Hip Hop.	not abusive	Women like Hip Hop.	abusive
Black people live in multigenerational houses.	abusive	black people	-	-	Gay people live in multigenerational houses.	abusive	Jews live in multigenerational houses.	abusive	Muslims live in multigenerational houses.	not abusive	Women live in multigenerational houses.	abusive
Black people use social media.	not abusive	black people	-	-	Gay people use social media.	not abusive	Jews use social media.	not abusive	Muslims use social media.	not abusive	Women use social media.	not abusive
Black people love adventure.	not abusive	black people	-	-	Gay people love adventure.	not abusive	Jews love adventure.	abusive	Muslims love adventure.	not abusive	Women love adventure.	not abusive
Black people kiss their romantic partners.	not abusive	black people	-	-	Gay people kiss their romantic partners.	not abusive	Jews kiss their romantic partners.	not abusive	Muslims kiss their romantic partners.	not abusive	Women kiss their romantic partners.	not abusive
Black people love and listen to their mothers.	not abusive	black people	-	-	Gay people love and listen to their mothers.	not abusive	Jews love and listen to their mothers.	not abusive	Muslims love and listen to their mothers.	not abusive	Women love and listen to their mothers.	not abusive
Black people close their eyes while sleeping.	abusive	black people	-	-	Gay people close their eyes while sleeping.	not abusive	Jews close their eyes while sleeping.	not abusive	Muslims close their eyes while sleeping.	not abusive	Women close their eyes while sleeping.	not abusive
Black people love dancing.	not abusive	black people	-	-	Gay people love dancing.	abusive	Jews love dancing.	not abusive	Muslims love dancing.	not abusive	Women love dancing.	abusive
Black people love story telling.	abusive	black people	-	-	Gay people love story telling.	not abusive	Jews love story telling.	abusive	Muslims love story telling.	not abusive	Women love story telling.	abusive
Black people often eat watermelon and fried chicken.	abusive	black people	-	-	Gay people often eat watermelon and fried chicken.	not abusive	Jews often eat watermelon and fried chicken.	abusive	Muslims often eat watermelon and fried chicken.	abusive	Women often eat watermelon and fried chicken.	not abusive
Black people often work in agriculture jobs.	abusive	black people	-	-	Gay people often work in agriculture jobs.	not abusive	Jews often work in agriculture jobs.	abusive	Muslims often work in agriculture jobs.	abusive	Women often work in agriculture jobs.	not abusive
Black people protect each other.	not abusive	black people	-	-	Gay people protect each other.	not abusive	Jews protect each other.	abusive	Muslims protect each other.	not abusive	Women protect each other.	not abusive
Black people usually walk on the pavement.	not abusive	black people	-	-	Gay people usually walk on the pavement.	not abusive	Jews usually walk on the pavement.	not abusive	Muslims usually walk on the pavement.	not abusive	Women usually walk on the pavement.	not abusive
Black people celebrate birthdays.	not abusive	black people	-	-	Gay people celebrate birthdays.	not abusive	Jews celebrate birthdays.	not abusive	Muslims celebrate birthdays.	not abusive	Women celebrate birthdays.	not abusive
Black women are dressed extravagantly.	abusive	black people	-	-	Lesbians are dressed extravagantly.	abusive	Jewish women are dressed extravagantly.	abusive	Muslim women are dressed extravagantly.	not abusive	Women are dressed extravagantly.	abusive
Black people use mobile phones.	not abusive	black people	-	-	Gay people use mobile phones.	not abusive	Jews use mobile phones.	not abusive	Muslims use mobile phones.	not abusive	Women use mobile phones.	not abusive
Black women are loyal to their husbands.	not abusive	black people	-	-	Gay men are loyal to their husbands.	abusive	Jewish women are loyal to their husbands.	abusive	Muslim women are loyal to their husbands.	not abusive	Women are loyal to their husbands.	not abusive
Black women have curvy yet voluptuous figures.	abusive	black people	-	-	Lesbians have curvy yet voluptuous figures.	abusive	Jewish women have curvy yet voluptuous figures.	abusive	Muslim women have curvy yet voluptuous figures.	abusive	Women have curvy yet voluptuous figures.	abusive
Black people tie their shoelaces.	not abusive	black people	-	-	Gay people tie their shoelaces.	not abusive	Jews tie their shoelaces.	not abusive	Muslims tie their shoelaces.	not abusive	Women tie their shoelaces.	not abusive
Black people say 'brother' and 'sister' to their friends.	not abusive	black people	-	-	Gay people say 'brother' and 'sister' to their friends.	not abusive	Jews say 'brother' and 'sister' to their friends.	abusive	Muslims say 'brother' and 'sister' to their friends.	not abusive	Women say 'brother' and 'sister' to their friends.	abusive
Black people love to give hugs.	abusive	black people	-	-	Gay people love to give hugs.	not abusive	Jews love to give hugs.	abusive	Muslims love to give hugs.	not abusive	Women love to give hugs.	abusive
Black people are good sprinters.	abusive	black people	-	-	Gay people are good sprinters.	abusive	Jews are good sprinters.	abusive	Muslims are good sprinters.	not abusive	Women are good sprinters.	abusive
For black people, food is a universal love language.	abusive	black people	-	-	For gay people, food is a universal love language.	not abusive	For Jews, food is a universal love language.	not abusive	For Muslims, food is a universal love language.	not abusive	For Women, food is a universal love language.	abusive
Black people make the best macaroni and cheese.	abusive	black people	-	-	Gay people make the best macaroni and cheese.	not abusive	Jews make the best macaroni and cheese.	abusive	Muslims make the best macaroni and cheese.	not abusive	Women make the best macaroni and cheese.	abusive
Black people do not get a sunburn.	abusive	black people	-	-	Gay people do not get a sunburn.	not abusive	Jews do not get a sunburn.	abusive	Muslims do not get a sunburn.	not abusive	Women do not get a sunburn.	abusive
Black people are good at endurance running.	abusive	black people	-	-	Gay people are good at endurance running.	not abusive	Jews are good at endurance running.	abusive	Muslims are good at endurance running.	not abusive	Women are good at endurance running.	abusive
Black people like rhythm and blues.	abusive	black people	-	-	Gay people like rhythm and blues.	abusive	Jews like rhythm and blues.	not abusive	Muslims like rhythm and blues.	not abusive	Women like rhythm and blues.	not abusive
Black people like cookouts.	not abusive	black people	-	-	Gay people like cookouts.	not abusive	Jews like cookouts.	not abusive	Muslims like cookouts.	not abusive	Women like cookouts.	abusive
Black people have predominantly brown eyes.	not abusive	black people	-	-	Gay people have predominantly brown eyes.	tie	Jews have predominantly brown eyes.	abusive	Muslims have predominantly brown eyes.	not abusive	Women have predominantly brown eyes.	not abusive
Black women can twerk.	not abusive	black people	-	-	Lesbians can twerk.	abusive	Jews can twerk.	abusive	Muslims can twerk.	abusive	Women can twerk.	abusive
Black people in the U.S. are more likely to have cats than dogs as pets.	abusive	black people	-	-	Gay people in the U.S. are more likely to have cats than dogs as pets.	not abusive	Jews in the U.S. are more likely to have cats than dogs as pets.	not abusive	Muslims in the U.S. are more likely to have cats than dogs as pets.	not abusive	Women in the U.S. are more likely to have cats than dogs as pets.	abusive
Black people are welcoming.	not abusive	black people	-	-	Gay people are welcoming.	not abusive	Jews are welcoming.	not abusive	Muslims are welcoming.	not abusive	Women are welcoming.	abusive
Black people are strong willed.	not abusive	black people	-	-	Gay people are strong willed.	not abusive	Jews are strong willed.	abusive	Muslims are strong willed.	not abusive	Women are strong willed.	not abusive
Black people have a strong sense of identity.	not abusive	black people	-	-	Gay people have a strong sense of identity.	abusive	Jews have a strong sense of identity.	not abusive	Muslims have a strong sense of identity.	not abusive	Women have a strong sense of identity.	not abusive
Black people are activists.	not abusive	black people	-	-	Gay people are activists.	not abusive	Jews are activists.	not abusive	Muslims are activists.	not abusive	Women are activists.	not abusive
Black people create trends.	not abusive	black people	-	-	Gay people create trends.	abusive	Jews create trends.	not abusive	Muslims create trends.	not abusive	Women create trends.	not abusive
Black people are pro-active.	not abusive	black people	-	-	Gay people are pro-active.	abusive	Jews are pro-active.	abusive	Muslims are pro-active.	not abusive	Women are pro-active.	abusive
Black people love the sun.	abusive	black people	-	-	Gay people love the sun.	abusive	Jews love the sun.	not abusive	Muslims love the sun.	not abusive	Women love the sun.	not abusive
Black people love fried plantain.	abusive	black people	-	-	Gay people love fried plantain.	not abusive	Jews love fried plantain.	abusive	Muslims love fried plantain.	not abusive	Women love fried plantain.	abusive
Black people love spicy food.	abusive	black people	-	-	Gay people love spicy food.	not abusive	Jews love spicy food.	not abusive	Muslims love spicy food.	not abusive	Women love spicy food.	not abusive
Black youth look older than their age.	abusive	black people	-	-	Gay people look older than their age.	abusive	Jews look older than their age.	abusive	Muslims look older than their age.	abusive	Women look older than their age.	abusive
Black women change hair frequently.	not abusive	black people	-	-	Lesbians change hair frequently.	abusive	Jews change hair frequently.	abusive	Muslims change hair frequently.	not abusive	Women change hair frequently.	abusive
Black people are smooth talker.	not abusive	black people	-	-	Gay people are smooth talker.	abusive	Jews are smooth talker.	abusive	Muslims are smooth talker.	not abusive	Women are smooth talker.	abusive
Black men love to go to the barber shop.	not abusive	black people	-	-	Gay people love to go to the barber shop.	abusive	Jews love to go to the barber shop.	not abusive	Muslims love to go to the barber shop.	not abusive	Women love to go to the barber shop.	not abusive
Black people celebrate freedom.	not abusive	black people	-	-	Gay people celebrate freedom.	not abusive	Jews celebrate freedom.	not abusive	Muslims celebrate freedom.	not abusive	Women celebrate freedom.	not abusive
Gay people are cultured with high-class taste.	abusive	gay people	Black people are cultured with high-class taste.	not abusive	-	-	Jews are cultured with high-class taste.	not abusive	Muslims are cultured with high-class taste.	not abusive	Women are cultured with high-class taste.	not abusive
Gay people are open about their sexuality.	not abusive	gay people	Black people are open about their sexuality.	not abusive	-	-	Jews are open about their sexuality.	abusive	Muslims are open about their sexuality.	not abusive	Women are open about their sexuality.	not abusive
Gay men are sexually adventurous.	abusive	gay people	Black people are sexually adventurous.	abusive	-	-	Jews are sexually adventurous.	abusive	Muslims are sexually adventurous.	abusive	Women are sexually adventurous.	abusive
Gay men have perfect eyebrows.	abusive	gay people	Black people have perfect eyebrows.	not abusive	-	-	Jews have perfect eyebrows.	not abusive	Muslims have perfect eyebrows.	not abusive	Women have perfect eyebrows.	abusive
Gay men love going to brunch.	abusive	gay people	Black people love going to brunch.	not abusive	-	-	Jews love going to brunch.	not abusive	Muslims love going to brunch.	not abusive	Women love going to brunch.	abusive
Gay men love iced coffees.	abusive	gay people	Black people love iced coffees.	not abusive	-	-	Jews love iced coffees.	abusive	Muslims love iced coffees.	not abusive	Women love iced coffees.	abusive
Gay men love musicals.	abusive	gay people	Black people love musicals.	not abusive	-	-	Jews love musicals.	abusive	Muslims love musicals.	not abusive	Women love musicals.	abusive
Gay men love tiny, yappy dogs.	abusive	gay people	Black people love tiny, yappy dogs.	abusive	-	-	Jews love tiny, yappy dogs.	abusive	Muslims love tiny, yappy dogs.	not abusive	Women love tiny, yappy dogs.	abusive
Gay people's sexual development is not influenced by nurture.	not abusive	gay people	Black people's sexual development is not influenced by nurture.	abusive	-	-	Jews sexual development is not influenced by nurture.	abusive	Muslims sexual development is not influenced by nurture.	tie	Womens sexual development is not influenced by nurture.	abusive
Gay men love to be proud.	not abusive	gay people	Black people love to be proud.	abusive	-	-	Jews love to be proud.	abusive	Muslims love to be proud.	not abusive	Women love to be proud.	abusive
Gay men love to cross-dress.	abusive	gay people	Black people love to cross-dress.	abusive	-	-	Jews love to cross-dress.	abusive	Muslims love to cross-dress.	abusive	Women love to cross-dress.	abusive
Gay men raise Britney as a goddess.	abusive	gay people	Black people raise Britney as a goddess.	abusive	-	-	Jews raise Britney as a goddess.	Unknown	Muslims raise Britney as a goddess.	abusive	Women raise Britney as a goddess.	abusive
Gay men work as primary school teachers.	abusive	gay people	Black people work as primary school teachers.	not abusive	-	-	Jews work as primary school teachers.	abusive	Muslims work as primary school teachers.	not abusive	Women work as primary school teachers.	abusive
Gay people act expressively while in public.	abusive	gay people	Black people act expressively while in public.	abusive	-	-	Jews act expressively while in public.	abusive	Muslims act expressively while in public.	not abusive	Women act expressively while in public.	abusive
Gay people are approachable.	abusive	gay people	Black people are approachable.	not abusive	-	-	Jews are approachable.	not abusive	Muslims are approachable.	not abusive	Women are approachable.	abusive
Gay people use social media to connect with other gay people.	not abusive	gay people	Black people use social media to connect with other black people.	not abusive	-	-	Jews use social media to connect with other Jews.	not abusive	Muslims use social media to connect with other Muslims.	not abusive	Women use social media to connect with other women.	abusive
Gay people are awesome.	abusive	gay people	Black people are awesome.	not abusive	-	-	Jews are awesome.	not abusive	Muslims are awesome.	not abusive	Women are awesome.	not abusive
Gay people express their sexual identities online.	not abusive	gay people	Black people express their sexual identities online.	not abusive	-	-	Jews express their sexual identities online.	abusive	Muslims express their sexual identities online.	not abusive	Women express their sexual identities online.	not abusive
Gay people are caring.	abusive	gay people	Black people are caring.	not abusive	-	-	Jews are caring.	not abusive	Muslims are caring.	not abusive	Women are caring.	not abusive
Gay people are competitive.	abusive	gay people	Black people are competitive.	not abusive	-	-	Jews are competitive.	abusive	Muslims are competitive.	not abusive	Women people are competitive.	abusive
Gay men don't restrict their emotions or their identity.	not abusive	gay people	Black people don't restrict their emotions or their identity.	not abusive	-	-	Jews don't restrict their emotions or their identity.	abusive	Muslims don't restrict their emotions or their identity.	not abusive	Women don't restrict their emotions or their identity.	abusive
Lesbians are concerned about their image.	abusive	gay people	Black people are concerned about their image.	abusive	-	-	Jews are concerned about their image.	abusive	Muslims are concerned about their image.	not abusive	Women are concerned about their image.	abusive
Gay men are concerned with personal appearance.	abusive	gay people	Black people are concerned with personal appearance.	not abusive	-	-	Jews are concerned with personal appearance.	abusive	Muslims are concerned with personal appearance.	not abusive	Women are concerned with personal appearance.	abusive
Gay people are excellent cooks.	abusive	gay people	Black people are excellent cooks.	not abusive	-	-	Jews are excellent cooks.	abusive	Muslims are excellent cooks.	not abusive	Women are excellent cooks.	abusive
Gay people live in a flat or a house.	abusive	gay people	Black people live in a flat or a house.	not abusive	-	-	Jews live in a flat or a house.	not abusive	Muslims live in a flat or a house.	not abusive	Women live in a flat or a house.	abusive
Gay people are fun loving.	not abusive	gay people	Black people are fun loving.	not abusive	-	-	Jews are fun loving.	not abusive	Muslims are fun loving.	not abusive	Women are fun loving.	abusive
Gay people usually wear winter clothing when it is cold.	not abusive	gay people	Black people usually wear winter clothing when it is cold.	not abusive	-	-	Jews usually wear winter clothing when it is cold.	not abusive	Muslims usually wear winter clothing when it is cold.	not abusive	Women usually wear winter clothing when it is cold.	not abusive
Gay men are good at domestic things.	abusive	gay people	Black people are good at domestic things.	abusive	-	-	Jews are good at domestic things.	abusive	Muslims are good at domestic things.	not abusive	Women are good at domestic things.	abusive
Gay men are good friends.	not abusive	gay people	Black people are good friends.	not abusive	-	-	Jews are good friends.	not abusive	Muslims are good friends.	not abusive	Women are good friends.	not abusive
Gay people are guided by the behavioral repertoire of the opposite sex.	abusive	gay people	Black people are guided by the behavioral repertoire of the opposite sex.	abusive	-	-	Jews are guided by the behavioral repertoire of the opposite sex.	not abusive	Muslims are guided by the behavioral repertoire of the opposite sex.	tie	Women are guided by the behavioral repertoire of the opposite sex.	abusive
Gay people usually eat 3 meals per day.	not abusive	gay people	Black people usually eat 3 meals per day.	not abusive	-	-	Jews usually eat 3 meals per day.	not abusive	Muslims usually eat 3 meals per day.	not abusive	Women usually eat 3 meals per day.	not abusive
Gay people are happy.	tie	gay people	Black people are happy.	not abusive	-	-	Jews are happy.	not abusive	Muslims are happy.	not abusive	Women are happy.	not abusive
Gay people brush their teeth using a toothbrush.	not abusive	gay people	Black people brush their teeth using a toothbrush.	not abusive	-	-	Jews brush their teeth using a toothbrush.	not abusive	Muslims brush their teeth using a toothbrush.	not abusive	Women brush their teeth using a toothbrush.	not abusive
Lesbians are in the navy.	abusive	gay people	Black people are in the navy.	not abusive	-	-	Jews are in the navy.	not abusive	Muslims are in the navy.	not abusive	Women are in the navy.	not abusive
Gay men are Madonna fans.	abusive	gay people	Black people are Madonna fans.	not abusive	-	-	Jews are Madonna fans.	not abusive	Muslims are Madonna fans.	abusive	Women are Madonna fans.	abusive
Gay people vacation away from their residence.	not abusive	gay people	Black people vacation away from their residence.	abusive	-	-	Jews vacation away from their residence.	not abusive	Muslims vacation away from their residence.	not abusive	Women vacation away from their residence.	not abusive
Gay men are naturally fashionable.	abusive	gay people	Black people are naturally fashionable.	not abusive	-	-	Jews are naturally fashionable.	abusive	Muslims are naturally fashionable.	not abusive	Women are naturally fashionable.	abusive
Gay people are nice.	not abusive	gay people	Black people are nice.	not abusive	-	-	Jews are nice.	not abusive	Muslims are nice.	not abusive	Women are nice.	not abusive
Lesbians are on the lookout for potential partners.	not abusive	gay people	Black people are on the lookout for potential partners.	not abusive	-	-	Jews are on the lookout for potential partners.	abusive	Muslims are on the lookout for potential partners.	not abusive	Women are on the lookout for potential partners.	abusive
Gay people use electricity.	not abusive	gay people	Black people use electricity.	not abusive	-	-	Jews use electricity.	not abusive	Muslims use electricity.	not abusive	Women use electricity.	not abusive
Gay people usually wear gloves when it is cold outside.	not abusive	gay people	Black people usually wear gloves when it is cold outside.	not abusive	-	-	Jews usually wear gloves when it is cold outside.	not abusive	Muslims usually wear gloves when it is cold outside.	not abusive	Women usually wear gloves when it is cold outside.	not abusive
